Store Type,Metric,Includes Online Sales,Period,Percentage Change,Term,Period Type
Directly-Run Stores,Average Purchase per Customer,0,Aug '18,4.799999999999997,September 2017 to August 2018,Monthly
Directly-Run Stores,Net Sales,1,Aug '18,9.099999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Customer Numbers,1,Aug '18,4.099999999999994,September 2017 to August 2018,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Aug '18,4.799999999999997,September 2017 to August 2018,Monthly
Same Stores,Net Sales,1,Six months to Aug '18,3.299999999999997,September 2017 to August 2018,Biannual
Same Stores,Customer Numbers,1,Six months to Aug '18,-1.2000000000000028,September 2017 to August 2018,Biannual
Same Stores,Average Purchase per Customer,1,Six months to Aug '18,4.5,September 2017 to August 2018,Biannual
Directly-Run Stores,Net Sales,0,Six months to Aug '18,1.7999999999999972,September 2017 to August 2018,Biannual
Directly-Run Stores,Customer Numbers,0,Six months to Aug '18,-2.200000000000003,September 2017 to August 2018,Biannual
Directly-Run Stores,Average Purchase per Customer,0,Six months to Aug '18,4.099999999999994,September 2017 to August 2018,Biannual
Directly-Run Stores,Net Sales,1,Six months to Aug '18,3.700000000000003,September 2017 to August 2018,Biannual
Directly-Run Stores,Customer Numbers,1,Six months to Aug '18,-0.5999999999999943,September 2017 to August 2018,Biannual
Directly-Run Stores,Average Purchase per Customer,1,Six months to Aug '18,4.400000000000006,September 2017 to August 2018,Biannual
Same Stores,Net Sales,1,Year to Aug '18,6.200000000000003,September 2017 to August 2018,Annual
Same Stores,Customer Numbers,1,Year to Aug '18,1.7000000000000028,September 2017 to August 2018,Annual
Same Stores,Average Purchase per Customer,1,Year to Aug '18,4.400000000000006,September 2017 to August 2018,Annual
Directly-Run Stores,Net Sales,0,Year to Aug '18,4.599999999999994,September 2017 to August 2018,Annual
Directly-Run Stores,Customer Numbers,0,Year to Aug '18,0.7000000000000028,September 2017 to August 2018,Annual
Directly-Run Stores,Average Purchase per Customer,0,Year to Aug '18,3.9000000000000057,September 2017 to August 2018,Annual
Directly-Run Stores,Net Sales,1,Year to Aug '18,6.400000000000006,September 2017 to August 2018,Annual
Directly-Run Stores,Customer Numbers,1,Year to Aug '18,2.0,September 2017 to August 2018,Annual
Directly-Run Stores,Average Purchase per Customer,1,Year to Aug '18,4.400000000000006,September 2017 to August 2018,Annual
Same Stores,Net Sales,1,Sep '18,6.0,September 2018 to August 2019,Monthly
Same Stores,Customer Numbers,1,Sep '18,3.4000000000000057,September 2018 to August 2019,Monthly
Same Stores,Average Purchase per Customer,1,Sep '18,2.5,September 2018 to August 2019,Monthly
Directly-Run Stores,Net Sales,1,Sep '18,5.400000000000006,September 2018 to August 2019,Monthly
Directly-Run Stores,Customer Numbers,1,Sep '18,3.0,September 2018 to August 2019,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Sep '18,2.299999999999997,September 2018 to August 2019,Monthly
Same Stores,Net Sales,1,Oct '18,-10.0,September 2018 to August 2019,Monthly
Same Stores,Customer Numbers,1,Oct '18,-5.5,September 2018 to August 2019,Monthly
Same Stores,Average Purchase per Customer,1,Oct '18,-4.700000000000003,September 2018 to August 2019,Monthly
Directly-Run Stores,Net Sales,1,Oct '18,-10.0,September 2018 to August 2019,Monthly
